environment,agent,run,time_steps,score
environments/non_square/20x2-rectangle,TPVacuumModelReflexLocAgent,1,168,0.94
environments/non_square/20x2-rectangle,TPVacuumModelReflexLocAgent,2,168,0.94
environments/non_square/20x2-rectangle,TPVacuumModelReflexLocAgent,3,168,0.94
environments/non_square/20x2-rectangle,TPVacuumModelReflexLocAgent,4,168,0.94
environments/non_square/20x2-rectangle,TPVacuumModelReflexLocAgent,5,168,0.94
environments/non_square/20x2-rectangle,TPVacuumModelReflexLocAgent,6,168,0.94
environments/non_square/20x2-rectangle,TPVacuumModelReflexLocAgent,7,168,0.94
environments/non_square/20x2-rectangle,TPVacuumModelReflexLocAgent,8,168,0.94
environments/non_square/20x2-rectangle,TPVacuumModelReflexLocAgent,9,168,0.94
environments/non_square/20x2-rectangle,TPVacuumModelReflexLocAgent,10,168,0.94
environments/non_square/20x2-rectangle,HahVacuumModelReflexBumpAgent,1,92,0.99
environments/non_square/20x2-rectangle,HahVacuumModelReflexBumpAgent,2,96,0.99
environments/non_square/20x2-rectangle,HahVacuumModelReflexBumpAgent,3,95,0.99
environments/non_square/20x2-rectangle,HahVacuumModelReflexBumpAgent,4,95,0.99
environments/non_square/20x2-rectangle,HahVacuumModelReflexBumpAgent,5,92,0.99
environments/non_square/20x2-rectangle,HahVacuumModelReflexBumpAgent,6,100,0.99
environments/non_square/20x2-rectangle,HahVacuumModelReflexBumpAgent,7,96,0.99
environments/non_square/20x2-rectangle,HahVacuumModelReflexBumpAgent,8,94,0.99
environments/non_square/20x2-rectangle,HahVacuumModelReflexBumpAgent,9,103,0.99
environments/non_square/20x2-rectangle,HahVacuumModelReflexBumpAgent,10,100,0.99
environments/non_square/2x20-rectangle,TPVacuumModelReflexLocAgent,1,194,0.92
environments/non_square/2x20-rectangle,TPVacuumModelReflexLocAgent,2,194,0.92
environments/non_square/2x20-rectangle,TPVacuumModelReflexLocAgent,3,194,0.92
environments/non_square/2x20-rectangle,TPVacuumModelReflexLocAgent,4,194,0.92
environments/non_square/2x20-rectangle,TPVacuumModelReflexLocAgent,5,194,0.92
environments/non_square/2x20-rectangle,TPVacuumModelReflexLocAgent,6,194,0.92
environments/non_square/2x20-rectangle,TPVacuumModelReflexLocAgent,7,194,0.92
environments/non_square/2x20-rectangle,TPVacuumModelReflexLocAgent,8,194,0.92
environments/non_square/2x20-rectangle,TPVacuumModelReflexLocAgent,9,194,0.92
environments/non_square/2x20-rectangle,TPVacuumModelReflexLocAgent,10,194,0.92
environments/non_square/2x20-rectangle,HahVacuumModelReflexBumpAgent,1,100,0.99
environments/non_square/2x20-rectangle,HahVacuumModelReflexBumpAgent,2,100,0.99
environments/non_square/2x20-rectangle,HahVacuumModelReflexBumpAgent,3,100,0.99
environments/non_square/2x20-rectangle,HahVacuumModelReflexBumpAgent,4,100,0.99
environments/non_square/2x20-rectangle,HahVacuumModelReflexBumpAgent,5,100,0.99
environments/non_square/2x20-rectangle,HahVacuumModelReflexBumpAgent,6,100,0.99
environments/non_square/2x20-rectangle,HahVacuumModelReflexBumpAgent,7,87,1.00
environments/non_square/2x20-rectangle,HahVacuumModelReflexBumpAgent,8,96,0.99
environments/non_square/2x20-rectangle,HahVacuumModelReflexBumpAgent,9,94,0.99
environments/non_square/2x20-rectangle,HahVacuumModelReflexBumpAgent,10,100,0.99
environments/non_square/3x25_empty_rectangle,TPVacuumModelReflexLocAgent,1,285,0.89
environments/non_square/3x25_empty_rectangle,TPVacuumModelReflexLocAgent,2,285,0.89
environments/non_square/3x25_empty_rectangle,TPVacuumModelReflexLocAgent,3,284,0.90
environments/non_square/3x25_empty_rectangle,TPVacuumModelReflexLocAgent,4,285,0.89
environments/non_square/3x25_empty_rectangle,TPVacuumModelReflexLocAgent,5,284,0.90
environments/non_square/3x25_empty_rectangle,TPVacuumModelReflexLocAgent,6,284,0.90
environments/non_square/3x25_empty_rectangle,TPVacuumModelReflexLocAgent,7,284,0.90
environments/non_square/3x25_empty_rectangle,TPVacuumModelReflexLocAgent,8,284,0.90
environments/non_square/3x25_empty_rectangle,TPVacuumModelReflexLocAgent,9,285,0.89
environments/non_square/3x25_empty_rectangle,TPVacuumModelReflexLocAgent,10,284,0.90
environments/non_square/3x25_empty_rectangle,HahVacuumModelReflexBumpAgent,1,105,1.00
environments/non_square/3x25_empty_rectangle,HahVacuumModelReflexBumpAgent,2,105,1.00
environments/non_square/3x25_empty_rectangle,HahVacuumModelReflexBumpAgent,3,105,1.00
environments/non_square/3x25_empty_rectangle,HahVacuumModelReflexBumpAgent,4,105,1.00
environments/non_square/3x25_empty_rectangle,HahVacuumModelReflexBumpAgent,5,105,1.00
environments/non_square/3x25_empty_rectangle,HahVacuumModelReflexBumpAgent,6,105,1.00
environments/non_square/3x25_empty_rectangle,HahVacuumModelReflexBumpAgent,7,105,1.00
environments/non_square/3x25_empty_rectangle,HahVacuumModelReflexBumpAgent,8,105,1.00
environments/non_square/3x25_empty_rectangle,HahVacuumModelReflexBumpAgent,9,105,1.00
environments/non_square/3x25_empty_rectangle,HahVacuumModelReflexBumpAgent,10,105,1.00
environments/non_square/cool_triangle,TPVacuumModelReflexLocAgent,1,74,0.93
environments/non_square/cool_triangle,TPVacuumModelReflexLocAgent,2,74,0.93
environments/non_square/cool_triangle,TPVacuumModelReflexLocAgent,3,73,0.93
environments/non_square/cool_triangle,TPVacuumModelReflexLocAgent,4,74,0.93
environments/non_square/cool_triangle,TPVacuumModelReflexLocAgent,5,74,0.93
environments/non_square/cool_triangle,TPVacuumModelReflexLocAgent,6,73,0.93
environments/non_square/cool_triangle,TPVacuumModelReflexLocAgent,7,74,0.93
environments/non_square/cool_triangle,TPVacuumModelReflexLocAgent,8,74,0.93
environments/non_square/cool_triangle,TPVacuumModelReflexLocAgent,9,73,0.93
environments/non_square/cool_triangle,TPVacuumModelReflexLocAgent,10,73,0.93
environments/non_square/cool_triangle,HahVacuumModelReflexBumpAgent,1,38,1.00
environments/non_square/cool_triangle,HahVacuumModelReflexBumpAgent,2,40,0.99
environments/non_square/cool_triangle,HahVacuumModelReflexBumpAgent,3,38,1.00
environments/non_square/cool_triangle,HahVacuumModelReflexBumpAgent,4,40,0.99
environments/non_square/cool_triangle,HahVacuumModelReflexBumpAgent,5,40,0.99
environments/non_square/cool_triangle,HahVacuumModelReflexBumpAgent,6,38,1.00
environments/non_square/cool_triangle,HahVacuumModelReflexBumpAgent,7,40,0.99
environments/non_square/cool_triangle,HahVacuumModelReflexBumpAgent,8,42,0.99
environments/non_square/cool_triangle,HahVacuumModelReflexBumpAgent,9,40,0.99
environments/non_square/cool_triangle,HahVacuumModelReflexBumpAgent,10,39,0.99
environments/non_square/maze_mk2,TPVacuumModelReflexLocAgent,1,712,0.92
environments/non_square/maze_mk2,TPVacuumModelReflexLocAgent,2,706,0.92
environments/non_square/maze_mk2,TPVacuumModelReflexLocAgent,3,713,0.92
environments/non_square/maze_mk2,TPVacuumModelReflexLocAgent,4,705,0.92
environments/non_square/maze_mk2,TPVacuumModelReflexLocAgent,5,713,0.92
environments/non_square/maze_mk2,TPVacuumModelReflexLocAgent,6,717,0.92
environments/non_square/maze_mk2,TPVacuumModelReflexLocAgent,7,717,0.92
environments/non_square/maze_mk2,TPVacuumModelReflexLocAgent,8,713,0.92
environments/non_square/maze_mk2,TPVacuumModelReflexLocAgent,9,705,0.92
environments/non_square/maze_mk2,TPVacuumModelReflexLocAgent,10,706,0.92
environments/non_square/maze_mk2,HahVacuumModelReflexBumpAgent,1,391,0.99
environments/non_square/maze_mk2,HahVacuumModelReflexBumpAgent,2,385,0.99
environments/non_square/maze_mk2,HahVacuumModelReflexBumpAgent,3,423,0.98
environments/non_square/maze_mk2,HahVacuumModelReflexBumpAgent,4,375,0.99
environments/non_square/maze_mk2,HahVacuumModelReflexBumpAgent,5,368,0.99
environments/non_square/maze_mk2,HahVacuumModelReflexBumpAgent,6,377,0.99
environments/non_square/maze_mk2,HahVacuumModelReflexBumpAgent,7,377,0.99
environments/non_square/maze_mk2,HahVacuumModelReflexBumpAgent,8,380,0.99
environments/non_square/maze_mk2,HahVacuumModelReflexBumpAgent,9,373,0.99
environments/non_square/maze_mk2,HahVacuumModelReflexBumpAgent,10,383,0.99
environments/non_square/nonsquare_25x5,TPVacuumModelReflexLocAgent,1,417,0.94
environments/non_square/nonsquare_25x5,TPVacuumModelReflexLocAgent,2,418,0.93
environments/non_square/nonsquare_25x5,TPVacuumModelReflexLocAgent,3,414,0.94
environments/non_square/nonsquare_25x5,TPVacuumModelReflexLocAgent,4,414,0.94
environments/non_square/nonsquare_25x5,TPVacuumModelReflexLocAgent,5,415,0.94
environments/non_square/nonsquare_25x5,TPVacuumModelReflexLocAgent,6,413,0.94
environments/non_square/nonsquare_25x5,TPVacuumModelReflexLocAgent,7,417,0.94
environments/non_square/nonsquare_25x5,TPVacuumModelReflexLocAgent,8,417,0.94
environments/non_square/nonsquare_25x5,TPVacuumModelReflexLocAgent,9,413,0.94
environments/non_square/nonsquare_25x5,TPVacuumModelReflexLocAgent,10,414,0.94
environments/non_square/nonsquare_25x5,HahVacuumModelReflexBumpAgent,1,249,0.99
environments/non_square/nonsquare_25x5,HahVacuumModelReflexBumpAgent,2,259,0.98
environments/non_square/nonsquare_25x5,HahVacuumModelReflexBumpAgent,3,272,0.98
environments/non_square/nonsquare_25x5,HahVacuumModelReflexBumpAgent,4,268,0.98
environments/non_square/nonsquare_25x5,HahVacuumModelReflexBumpAgent,5,242,0.99
