environment,agent,run,time_steps,score
environments/non_square/hah-nonsquare_25x5,HahRandomAgent,1,814,0.20
environments/non_square/hah-nonsquare_25x5,HahRandomAgent,2,814,0.32
environments/non_square/hah-nonsquare_25x5,HahRandomAgent,3,814,0.28
environments/non_square/hah-nonsquare_25x5,HahRandomAgent,4,814,0.15
environments/non_square/hah-nonsquare_25x5,HahRandomAgent,5,814,0.20
environments/non_square/hah-nonsquare_25x5,HahRandomAgent,6,814,0.19
environments/non_square/hah-nonsquare_25x5,HahRandomAgent,7,814,0.27
environments/non_square/hah-nonsquare_25x5,HahRandomAgent,8,814,0.19
environments/non_square/hah-nonsquare_25x5,HahRandomAgent,9,814,0.41
environments/non_square/hah-nonsquare_25x5,HahRandomAgent,10,814,0.15
environments/non_square/hah-nonsquare_25x5,HahVacuumModelReflexBumpAgent,1,268,0.98
environments/non_square/hah-nonsquare_25x5,HahVacuumModelReflexBumpAgent,2,256,0.98
environments/non_square/hah-nonsquare_25x5,HahVacuumModelReflexBumpAgent,3,277,0.98
environments/non_square/hah-nonsquare_25x5,HahVacuumModelReflexBumpAgent,4,247,0.99
environments/non_square/hah-nonsquare_25x5,HahVacuumModelReflexBumpAgent,5,243,0.99
environments/non_square/hah-nonsquare_25x5,HahVacuumModelReflexBumpAgent,6,261,0.98
environments/non_square/hah-nonsquare_25x5,HahVacuumModelReflexBumpAgent,7,268,0.98
environments/non_square/hah-nonsquare_25x5,HahVacuumModelReflexBumpAgent,8,251,0.99
environments/non_square/hah-nonsquare_25x5,HahVacuumModelReflexBumpAgent,9,246,0.99
environments/non_square/hah-nonsquare_25x5,HahVacuumModelReflexBumpAgent,10,268,0.98
environments/non_square/hah-nonsquare_3x30,HahRandomAgent,1,518,0.53
environments/non_square/hah-nonsquare_3x30,HahRandomAgent,2,518,0.11
environments/non_square/hah-nonsquare_3x30,HahRandomAgent,3,518,0.13
environments/non_square/hah-nonsquare_3x30,HahRandomAgent,4,518,0.10
environments/non_square/hah-nonsquare_3x30,HahRandomAgent,5,518,0.10
environments/non_square/hah-nonsquare_3x30,HahRandomAgent,6,518,0.14
environments/non_square/hah-nonsquare_3x30,HahRandomAgent,7,518,0.46
environments/non_square/hah-nonsquare_3x30,HahRandomAgent,8,518,0.50
environments/non_square/hah-nonsquare_3x30,HahRandomAgent,9,518,0.14
environments/non_square/hah-nonsquare_3x30,HahRandomAgent,10,518,0.13
environments/non_square/hah-nonsquare_3x30,HahVacuumModelReflexBumpAgent,1,177,0.98
environments/non_square/hah-nonsquare_3x30,HahVacuumModelReflexBumpAgent,2,186,0.97
environments/non_square/hah-nonsquare_3x30,HahVacuumModelReflexBumpAgent,3,182,0.98
environments/non_square/hah-nonsquare_3x30,HahVacuumModelReflexBumpAgent,4,204,0.97
environments/non_square/hah-nonsquare_3x30,HahVacuumModelReflexBumpAgent,5,206,0.96
environments/non_square/hah-nonsquare_3x30,HahVacuumModelReflexBumpAgent,6,204,0.97
environments/non_square/hah-nonsquare_3x30,HahVacuumModelReflexBumpAgent,7,172,0.98
environments/non_square/hah-nonsquare_3x30,HahVacuumModelReflexBumpAgent,8,204,0.97
environments/non_square/hah-nonsquare_3x30,HahVacuumModelReflexBumpAgent,9,204,0.97
environments/non_square/hah-nonsquare_3x30,HahVacuumModelReflexBumpAgent,10,204,0.97
environments/non_square/hah_nonsquare_3x8,HahRandomAgent,1,166,0.45
environments/non_square/hah_nonsquare_3x8,HahRandomAgent,2,166,0.45
environments/non_square/hah_nonsquare_3x8,HahRandomAgent,3,166,0.45
environments/non_square/hah_nonsquare_3x8,HahRandomAgent,4,166,0.45
environments/non_square/hah_nonsquare_3x8,HahRandomAgent,5,166,0.53
environments/non_square/hah_nonsquare_3x8,HahRandomAgent,6,166,0.57
environments/non_square/hah_nonsquare_3x8,HahRandomAgent,7,166,0.53
environments/non_square/hah_nonsquare_3x8,HahRandomAgent,8,166,0.49
environments/non_square/hah_nonsquare_3x8,HahRandomAgent,9,166,0.57
environments/non_square/hah_nonsquare_3x8,HahRandomAgent,10,166,0.41
environments/non_square/hah_nonsquare_3x8,HahVacuumModelReflexBumpAgent,1,49,0.99
environments/non_square/hah_nonsquare_3x8,HahVacuumModelReflexBumpAgent,2,47,1.00
environments/non_square/hah_nonsquare_3x8,HahVacuumModelReflexBumpAgent,3,46,1.00
environments/non_square/hah_nonsquare_3x8,HahVacuumModelReflexBumpAgent,4,45,1.00
environments/non_square/hah_nonsquare_3x8,HahVacuumModelReflexBumpAgent,5,45,1.00
environments/non_square/hah_nonsquare_3x8,HahVacuumModelReflexBumpAgent,6,49,0.99
environments/non_square/hah_nonsquare_3x8,HahVacuumModelReflexBumpAgent,7,50,0.99
environments/non_square/hah_nonsquare_3x8,HahVacuumModelReflexBumpAgent,8,55,0.98
environments/non_square/hah_nonsquare_3x8,HahVacuumModelReflexBumpAgent,9,45,1.00
environments/non_square/hah_nonsquare_3x8,HahVacuumModelReflexBumpAgent,10,43,1.00
environments/non_square/hah-nonsquare_40x4,HahRandomAgent,1,966,0.14
environments/non_square/hah-nonsquare_40x4,HahRandomAgent,2,966,0.14
environments/non_square/hah-nonsquare_40x4,HahRandomAgent,3,966,0.20
environments/non_square/hah-nonsquare_40x4,HahRandomAgent,4,966,0.46
environments/non_square/hah-nonsquare_40x4,HahRandomAgent,5,966,0.09
environments/non_square/hah-nonsquare_40x4,HahRandomAgent,6,966,0.24
environments/non_square/hah-nonsquare_40x4,HahRandomAgent,7,966,0.30
environments/non_square/hah-nonsquare_40x4,HahRandomAgent,8,966,0.54
environments/non_square/hah-nonsquare_40x4,HahRandomAgent,9,966,0.35
environments/non_square/hah-nonsquare_40x4,HahRandomAgent,10,966,0.11
environments/non_square/hah-nonsquare_40x4,HahVacuumModelReflexBumpAgent,1,343,0.97
environments/non_square/hah-nonsquare_40x4,HahVacuumModelReflexBumpAgent,2,358,0.97
environments/non_square/hah-nonsquare_40x4,HahVacuumModelReflexBumpAgent,3,365,0.97
environments/non_square/hah-nonsquare_40x4,HahVacuumModelReflexBumpAgent,4,339,0.98
environments/non_square/hah-nonsquare_40x4,HahVacuumModelReflexBumpAgent,5,329,0.98
environments/non_square/hah-nonsquare_40x4,HahVacuumModelReflexBumpAgent,6,339,0.98
environments/non_square/hah-nonsquare_40x4,HahVacuumModelReflexBumpAgent,7,334,0.98
environments/non_square/hah-nonsquare_40x4,HahVacuumModelReflexBumpAgent,8,379,0.96
environments/non_square/hah-nonsquare_40x4,HahVacuumModelReflexBumpAgent,9,350,0.97
environments/non_square/hah-nonsquare_40x4,HahVacuumModelReflexBumpAgent,10,308,0.98
environments/non_square/hah-nonsquare_5x12,HahRandomAgent,1,390,0.41
environments/non_square/hah-nonsquare_5x12,HahRandomAgent,2,390,0.29
environments/non_square/hah-nonsquare_5x12,HahRandomAgent,3,390,0.42
environments/non_square/hah-nonsquare_5x12,HahRandomAgent,4,390,0.30
environments/non_square/hah-nonsquare_5x12,HahRandomAgent,5,390,0.34
environments/non_square/hah-nonsquare_5x12,HahRandomAgent,6,390,0.20
environments/non_square/hah-nonsquare_5x12,HahRandomAgent,7,390,0.37
environments/non_square/hah-nonsquare_5x12,HahRandomAgent,8,390,0.64
environments/non_square/hah-nonsquare_5x12,HahRandomAgent,9,390,0.37
environments/non_square/hah-nonsquare_5x12,HahRandomAgent,10,390,0.39
environments/non_square/hah-nonsquare_5x12,HahVacuumModelReflexBumpAgent,1,111,0.99
environments/non_square/hah-nonsquare_5x12,HahVacuumModelReflexBumpAgent,2,109,0.99
environments/non_square/hah-nonsquare_5x12,HahVacuumModelReflexBumpAgent,3,120,0.99
environments/non_square/hah-nonsquare_5x12,HahVacuumModelReflexBumpAgent,4,114,0.99
environments/non_square/hah-nonsquare_5x12,HahVacuumModelReflexBumpAgent,5,116,0.99
environments/non_square/hah-nonsquare_5x12,HahVacuumModelReflexBumpAgent,6,109,0.99
environments/non_square/hah-nonsquare_5x12,HahVacuumModelReflexBumpAgent,7,119,0.99
environments/non_square/hah-nonsquare_5x12,HahVacuumModelReflexBumpAgent,8,117,0.99
environments/non_square/hah-nonsquare_5x12,HahVacuumModelReflexBumpAgent,9,125,0.98
environments/non_square/hah-nonsquare_5x12,HahVacuumModelReflexBumpAgent,10,117,0.99
environments/non_square/hah-nonsquare_5x50,HahRandomAgent,1,1478,0.11
environments/non_square/hah-nonsquare_5x50,HahRandomAgent,2,1478,0.22
environments/non_square/hah-nonsquare_5x50,HahRandomAgent,3,1478,0.13
environments/non_square/hah-nonsquare_5x50,HahRandomAgent,4,1478,0.23
environments/non_square/hah-nonsquare_5x50,HahRandomAgent,5,1478,0.16
environments/non_square/hah-nonsquare_5x50,HahRandomAgent,6,1478,0.21
environments/non_square/hah-nonsquare_5x50,HahRandomAgent,7,1478,0.11
environments/non_square/hah-nonsquare_5x50,HahRandomAgent,8,1478,0.19
environments/non_square/hah-nonsquare_5x50,HahRandomAgent,9,1478,0.16
environments/non_square/hah-nonsquare_5x50,HahRandomAgent,10,1478,0.16
environments/non_square/hah-nonsquare_5x50,HahVacuumModelReflexBumpAgent,1,493,0.98
environments/non_square/hah-nonsquare_5x50,HahVacuumModelReflexBumpAgent,2,492,0.98
environments/non_square/hah-nonsquare_5x50,HahVacuumModelReflexBumpAgent,3,561,0.97
environments/non_square/hah-nonsquare_5x50,HahVacuumModelReflexBumpAgent,4,497,0.98
environments/non_square/hah-nonsquare_5x50,HahVacuumModelReflexBumpAgent,5,519,0.98
environments/non_square/hah-nonsquare_5x50,HahVacuumModelReflexBumpAgent,6,524,0.97
environments/non_square/hah-nonsquare_5x50,HahVacuumModelReflexBumpAgent,7,510,0.98
environments/non_square/hah-nonsquare_5x50,HahVacuumModelReflexBumpAgent,8,509,0.98
environments/non_square/hah-nonsquare_5x50,HahVacuumModelReflexBumpAgent,9,500,0.98
environments/non_square/hah-nonsquare_5x50,HahVacuumModelReflexBumpAgent,10,505,0.98
