environment,agent,run,time_steps,score
3,HahRandomAgent,1,78,0.63
4,HahRandomAgent,1,134,0.56
5,HahRandomAgent,1,206,0.65
6,HahRandomAgent,1,294,0.47
7,HahRandomAgent,1,398,0.46
8,HahRandomAgent,1,518,0.30
9,HahRandomAgent,1,654,0.33
10,HahRandomAgent,1,806,0.31
3,HahVacuumModelReflexBumpAgent,1,21,1.00
4,HahVacuumModelReflexBumpAgent,1,34,1.00
5,HahVacuumModelReflexBumpAgent,1,57,1.00
6,HahVacuumModelReflexBumpAgent,1,78,1.00
7,HahVacuumModelReflexBumpAgent,1,108,1.00
8,HahVacuumModelReflexBumpAgent,1,143,0.99
9,HahVacuumModelReflexBumpAgent,1,186,0.99
10,HahVacuumModelReflexBumpAgent,1,213,1.00
3,HahRandomAgent,2,78,0.73
4,HahRandomAgent,2,134,0.66
5,HahRandomAgent,2,206,0.52
6,HahRandomAgent,2,294,0.50
7,HahRandomAgent,2,398,0.46
8,HahRandomAgent,2,518,0.37
9,HahRandomAgent,2,654,0.37
10,HahRandomAgent,2,806,0.33
3,HahVacuumModelReflexBumpAgent,2,21,1.00
4,HahVacuumModelReflexBumpAgent,2,35,1.00
5,HahVacuumModelReflexBumpAgent,2,58,1.00
6,HahVacuumModelReflexBumpAgent,2,80,1.00
7,HahVacuumModelReflexBumpAgent,2,112,0.99
8,HahVacuumModelReflexBumpAgent,2,144,0.99
9,HahVacuumModelReflexBumpAgent,2,181,0.99
10,HahVacuumModelReflexBumpAgent,2,213,1.00
3,HahRandomAgent,3,78,0.82
4,HahRandomAgent,3,134,0.61
5,HahRandomAgent,3,206,0.49
6,HahRandomAgent,3,294,0.52
7,HahRandomAgent,3,398,0.45
8,HahRandomAgent,3,518,0.42
9,HahRandomAgent,3,654,0.36
10,HahRandomAgent,3,806,0.46
3,HahVacuumModelReflexBumpAgent,3,20,1.01
4,HahVacuumModelReflexBumpAgent,3,35,1.00
5,HahVacuumModelReflexBumpAgent,3,57,1.00
6,HahVacuumModelReflexBumpAgent,3,86,0.99
7,HahVacuumModelReflexBumpAgent,3,112,0.99
8,HahVacuumModelReflexBumpAgent,3,144,0.99
9,HahVacuumModelReflexBumpAgent,3,179,1.00
10,HahVacuumModelReflexBumpAgent,3,225,0.99
3,HahRandomAgent,4,78,0.73
4,HahRandomAgent,4,134,0.56
5,HahRandomAgent,4,206,0.55
6,HahRandomAgent,4,294,0.54
7,HahRandomAgent,4,398,0.46
8,HahRandomAgent,4,518,0.50
9,HahRandomAgent,4,654,0.37
10,HahRandomAgent,4,806,0.38
3,HahVacuumModelReflexBumpAgent,4,22,1.00
4,HahVacuumModelReflexBumpAgent,4,35,1.00
5,HahVacuumModelReflexBumpAgent,4,55,1.00
6,HahVacuumModelReflexBumpAgent,4,81,1.00
7,HahVacuumModelReflexBumpAgent,4,112,0.99
8,HahVacuumModelReflexBumpAgent,4,146,0.99
